id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
0000075063108,DOVE,Desodorante Hipoalergenico Dove 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075063115,DOVE,Antitranspirante Roll On Renovador Dove 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075063177,AXE,Antitraspirante Gold Antimarks Rollon Axe 50 Cc,50.0 cc,,,,sin clasificar
0000075067038,AXE,Desodorante Stick Ap Ice Chill Axe 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075067069,DOVE,Antitranspirante Stick Sports Men Dove 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075067373,REXONA,Desodorante Clinical Classic Roll On Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075067410,REXONA,Desodorante Roll On Clinical Clean Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075067946,DOVE,Antitranspirante Roll On Original Clinical Dove 50 Cc,50.0 cc,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075068066,DOVE,Desodorante en Roll On Matcha Dove 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075068493,DOVE,Desodorante Stip Ap Matcha Dove 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075068677,REXONA,Desodorante en Roll On Sport Men Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075068684,REXONA,Desodorante en Roll On Sport Men Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075069209,REXONA,Desodorante Sti Ap Sport Men Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075069216,REXONA,Desodorante Sti Ap Sport Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000076145513,TOBLERONE,Chocolate con Leche Toblerone 50 Gr,50.0 gr,Frescos,Lácteos,,inferida
0000077900050,ILOLAY,Manteca Ilolay 100 Gr,100.0 gr,Frescos,Lácteos,,inferida
0000077900067,ILOLAY,Manteca Extra Firme Ilolay 200 Gr,200.0 gr,Frescos,Lácteos,,inferida
0000077900098,OFF!,Repelente de Insectos Crema Off 90 Gr,90.0 gr,Limpieza,Aromatizantes e Insecticidas,,inferida
0000077900104,ILOLAY,Manteca Ilolay 500 Gr,500.0 gr,Frescos,Lácteos,,inferida
0000077900111,NOGALY,Jabon Glicerina Neutro Nogaly 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077900296,OFF!,Repelente de Insectos Crema Kids Off 90 Gr,90.0 gr,Limpieza,Aromatizantes e Insecticidas,,inferida
0000077900302,OFF!,Repelente Crema Off 60 Gr,60.0 gr,Limpieza,Aromatizantes e Insecticidas,,inferida
0000077900319,OFF!,Repelente Extra Duracion Active Off 90 Gr,90.0 gr,Limpieza,Aromatizantes e Insecticidas,,inferida
0000077900470,NOVELTEX,Desodorante en Crema Noveltex 60 Gr,60.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077900661,CELUSAL,Sal Fina en Salero Celusal 100 Gr,100.0 gr,Almacén,Condimentos y Salsas,,inferida
0000077900739,TERRABUSI,Fideos Terrabusi Foratini 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
0000077900845,TITA,Galletitas Bañadas en Chocolate Relleno Limon Terrabusi Tita 18 Gr,18.0 gr,Frescos,Frutas,,inferida
0000077900951,NOGALY,Jabon Liquido Soft & White Nogaly 275 Ml,275.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077901002,LA LÁCTEO,Flan Vainilla en Pote La Lacteo 1 Un,1.0 un,,,,sin clasificar
0000077901026,HORTAL,Insecticida Mata Hormigas Liquido Hortal 3 Un 750 Ml,750.0 ml,Limpieza,Aromatizantes e Insecticidas,,inferida
0000077901095,MENTHO PLUS,Caramelos Strong Zero Menthoplus 27 Gr,27.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077901378,SEDAL,Shampoo Crema Balance Sedal 10 Ml,10.0 ml,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
0000077901651,BELDENT,Chicles Sabor Frutilla Beldent 10 Gr,10.0 gr,Frescos,Frutas,,inferida
0000077901729,JORGELIN,Alfajor Negro Maxialfajor Jorgelin 2 Un,90.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077902276,OBLI BON,Bombon Frutilla Suelto Obli Bon 1 Un,1.0 un,Frescos,Frutas,,inferida
0000077903426,VIRULANA,Esponja con Fibra Celulosica Verde Virulana 1 Un,1.0 un,Limpieza,Cocina y Baño,,inferida
0000077903495,SIN MARCA,Alcohol en Gel Pocket Anime 25 Gr,25.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077903501,OPERA,Galletitas Obleas Rellena Opera 55 Gr,55.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077903518,OPERA,Galletitas Obleas Rellena Opera 92 Gr,92.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077903532,BAGLEY,Galletitas Amor Bagley 112 Gr,112.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077903549,SER,Galletitas Mellizas Bagley 112 Gr,112.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077903617,CANNETTINE,Huevo de Pascuas decorado con Azucar Cannettine 50 Gr,50.0 gr,Frescos,Huevos,,inferida
0000077903778,MILKA,Alfajor Triple Leche Milka 70 Gr,70.0 gr,Frescos,Lácteos,,inferida
0000077903785,MILKA,Alfajor Mousse Triple Milka 55 Gr,55.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077903792,TERRABUSI,Alfajor Triple Dulce de Leche Terrabusi 70 Gr,70.0 gr,Frescos,Lácteos,,inferida
0000077903860,TERRABUSI,Alfajor Triple Torta Terrabusi 70 Gr,70.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077904331,REXONA,Desodorante Antitranspirante Aero Antibacterial Rexona 56 Gr,56.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077904607,SHIMY,Gelatina Shimy 110 Gr,110.0 gr,Almacén,Sopas y Puré,,inferida
0000077904744,LA YAPA,Pastilla La Yapa 17 Gr,17.0 gr,,,,sin clasificar
0000077905277,HALLS,Caramelos Miel y Limon Halls 28 Gr,28.0 gr,Frescos,Frutas,,inferida
0000077905291,HALLS,Caramelos Miel y Menthol Halls 28 Gr,28.0 gr,Almacén,Desayuno y Merienda,,inferida
0000077905321,DON FELIPE,Fideos al Huevo Tallarines Don Felipe 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
0000077905529,MINERVA,Jugo de Limon Minerva 250 Ml,250.0 ml,Bebidas sin Alcohol,Jugos,,inferida
0000077905734,JORGITO,Alfajores Frutados Jorgito 50 Gr,50.0 gr,,,,sin clasificar
0000077905741,JORGITO,Alfajor con Baño de Chocolate Jorgito 55 Gr,55.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077905758,JORGITO,Alfajores Blanco Jorgito 50 Gr,50.0 gr,,,,sin clasificar
