id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
7792249000714,PRUNELLE,Shampoo Aloe Vera Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000721,PRUNELLE,Acondicionador Hierbas Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000738,PRUNELLE,Acondicionador Trigo + Miel Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000745,PRUNELLE,Acondicionador Algas Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000752,PRUNELLE,Acondicionador Manzana Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000769,PRUNELLE,Acondicionador Extravitaminas Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000783,PRUNELLE,Acondicionador Savia Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015589,PRUNELLE,Coloracion Tono 1.1 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015596,PRUNELLE,Coloracion Tono 1 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015602,PRUNELLE,Coloracion Tono 3 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015619,PRUNELLE,Coloracion Tono 4 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015626,PRUNELLE,Coloracion Tono 5 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015633,PRUNELLE,Coloracion Tono 6 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015640,PRUNELLE,Coloracion Tono 7 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015657,PRUNELLE,Coloracion Tono 8 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249015664,PRUNELLE,Coloracion Tono 9 Prunelle 1 Un,1.0 un,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
